Razón Social,Estado,Municipio,Domicilio,Colonia,C.P.,Teléfono,E-mail,tipo_hospedaje,id_propietario,destino_id
HOTEL BAHIA DORADA,Baja California Sur,La Paz,Boulevard FORJADORES DE SUDCALIFORNIA 0 int 0,Colonia DIANA LAURA,23083,,omar.cervantes.romero@gmail.com,Hotel,148,72
INMOBILIARIA HOTEL CALIFORNIA,Baja California Sur,La Paz,Calle BENITO JUAREZ 0 int 0,Colonia CENTRO,23300,6121763362,guadalupe@hotelcalifornia.com,Hotel,149,69
JUANITOS GARDEN RV PARK,Baja California Sur,La Paz,Calle 20 DE NOVIEMBRE 0 int 0,Colonia UNICA,23330,6241006748,facturasjuanitos@gmail.com,Hotel,150,34
HOTELES BACAL,Baja California Sur,La Paz,Calle BLVD CONSTITUYENTES DE 1975 4015 int 15,Colonia CENTRO,23300,6121463044,gerencia.lapaz@hoteleszar.com,Hotel,151,96
HOTEL HACIENDA BUGAMBILIAS,Baja California Sur,La Paz,Calle AQUILES SERDÁN 520 int 0,Colonia ESTERITO,23020,6121223088,info@haciendabugambilias.com.mx,Hotel,152,75
GRUPO BAJA SOL,Baja California Sur,La Paz,Calle COLIMA SN int 0,Colonia PUEBLO NUEVO,23060,6121364598,bajasolsuiteshotel@hotmail.com,Hotel,153,55
HOTEL LOS DELFINES,Baja California Sur,La Paz,Carretera TRASPENINSUALR LA PAZ -LOS CABOS 0 int 0,Ejido EJIDO CHAMETLA,23090,6121281706,hotellosdelfines2@gmail.com,Hotel,154,75
HOTEL PALMAS DEL CORTES LOS BARRILES,Baja California Sur,La Paz,Calle 20 DE NOVIEMBRE - int -,Colonia LOS BARRILES,23330,6241410050,josecas77@hotmail.com,Hotel,155,52
SERVICIOS Y REPRESENTACIONES MERCANTILES,Baja California Sur,La Paz,Calle CUAUHTÉMOC 1165 int -,Colonia PUEBLO NUEVO,23060,6121221055,informacion@srmlapaz.com.mx,Hotel,156,47
VILLAS DE LOS SUEÑOS,Baja California Sur,La Paz,Camino PLAYA PUNTA ARENA - int -,Región LOS PLANES,23230,6121259133,JESQUEDA@KRESTONBSG.COM.MX,Hotel,157,29
PENINSULA DE LOS SUEÑOS,Baja California Sur,La Paz,Camino PLAYA PUNTA ARENA - int -,Colonia LOS PLANES,23230,6121259133,JESQUEDA@KRESTONBSG.COM.MX,Hotel,158,18
ACRE - HOTEL RESORT,Baja California Sur,Los Cabos,Calle RINCON DE LAS ANIMAS NA int NA,Colonia ANIMAS BAJAS,23407,7228224815,gesquivel@acreresort.com,Hotel,159,66
HOTEL LAS VENTANAS AL PARAISO,Baja California Sur,Los Cabos,Calle TRANSPENINSULAR KM 19.5 int AN,Colonia CABO REAL,23400,6241442800,MIRIAM.ROMERO@rosewoodhotels.com,Hotel,160,64
EL ENCANTO INN,Baja California Sur,Los Cabos,Calle MORELOS 133 int X,Colonia CENTRO,23400,6241420388,AUX.CONTABLE@ELENCANTOINN.COM,Hotel,161,12
HOTEL CASA NATALIA,Baja California Sur,Los Cabos,Calle BLVD MIJARES COL CENTRO CP23400 4 int A,Colonia SAN JOSE DEL CABO CENTRO,23400,6241467100,contabilidad@casanatalia.com,Hotel,162,97
VELA RESTAURANT - HOTEL HILTON,Baja California Sur,Los Cabos,Carretera TRANSPENINSULAR KM. 19.5 int NA,Colonia CABO REAL,23400,6241456500,miguel.amador@hilton.com,Hotel,163,7
HOTL HILTON LOS CABOS BEACH & GOLF RESORT,Baja California Sur,Los Cabos,Carretera TRASNPENINSULAR KM. 19.5 int NA,Colonia CABO REAL,23400,,miguel.amador@hilton.com,Hotel,164,111
Hotel Hacienda Encantada,Baja California Sur,Los Cabos,Carretera TRANSPENINSULAR KM. 7.3 XX int XX,Colonia CABO DEL SOL FRACCION A,23455,,auxcontable@haciendaencantada.com,Hotel,165,15
HOTEL DON JUAN SUITES,Baja California Sur,Los Cabos,Avenida DE LA JUVENTUD 0 int 0,Colonia EJIDAL,23470,6241446223,donjuanhotel123@hotmail.com,Hotel,166,20
HOTEL POSADA TERRANOVA,Baja California Sur,Los Cabos,Calle DEGOLLADO 0 int 0,Colonia CENTRO,23400,6241426714,casandra_syl@hotmail.com,Hotel,167,81
HOTEL OASIS,Baja California Sur,Los Cabos,Calzada AGUSTIN OLACHEA SN int SN,Colonia LAS GARZAS,23070,6121241036,hoteloasisdelapaz@gmail.com,Hotel,168,21
HOTEL GO INN,Coahuila de Zaragoza,Monclova,Boulevard HAROLD R. PAPE 612 int N,Colonia MONCLOVA CENTRO,25700,8666482300,GOINN05@YAHOO.COM,Hotel,169,102
HOTEL CITY EXPRESS BY MARRIOTT PIEDRAS NEGRAS,Coahuila de Zaragoza,Piedras Negras,Boulevard ELISEO MENDOZA BERRUETO 2501 int N/A,Colonia SAN FELIPE,26070,8787077750,cepds.gerencia@cityexpress.com.mx,Hotel,170,88
HOTEL QUALITY INN,Coahuila de Zaragoza,Saltillo,Boulevard VENUSTIANO CARRANZA 4100 int NA,Colonia VIRREYES RESIDENCIAL,25230,,,Hotel,171,55
HOTEL ROSA DE ORO,Coahuila de Zaragoza,San Juan de Sabinas,Carretera CARRETERA FEDERAL 57 102 int N.A.,Colonia LAS FLORES,26832,8611035095,cobranzahotelrdo@gmail.com,Hotel,172,77
SAVOY EXPRESS S.A. DE C.V.,Coahuila de Zaragoza,Torreón,Avenida ACUÑA 257 int NA,Colonia CENTRO,26999,8717113030,,Hotel,173,9
MOTEL EL PINGUINO,Coahuila de Zaragoza,Torreón,Avenida HIDALGO 2310 ote int NA,Colonia CENTRO,27000,8717177450,motelpinguino@hotmail.com,Hotel,174,50
HOTEL PLAZA REGINA,Coahuila de Zaragoza,Torreón,Avenida JOAQUÍN MORENO 1024 Nte. int N/A,Colonia CENTRO,27000,8716739554,gerencia.hplazaregina@gmail.com,Hotel,175,49
HOTEL LA VILLA,Coahuila de Zaragoza,Torreón,Boulevard DIAGONAL REFORMA S/N int N/A,Colonia N O. TORREON,27060,8717200888,hotel-lavilla@hotmail.com,Hotel,176,77
HOTEL MARRIOTT,Coahuila de Zaragoza,Torreón,Boulevard INDEPENDENCIA 100 int NA,Colonia CENTRO,27000,8718950000,lizita.ontiveros@hotnail.com,Hotel,177,60
HOTEL LOS CEDROS,Coahuila de Zaragoza,Torreón,Periférico RAUL LÓPEZ SÁNCHEZ 9034 int N/A,Colonia EL TAJITO,27110,,,Hotel,178,68
FIESTA INN TORREON GALERIAS,Coahuila de Zaragoza,Torreón,Periférico RAÚL LÓPEZ SÁNCHEZ 6000 int NA,Colonia EL FRESNO,27018,8717493300,carlos.elizalde@posadas.com,Hotel,179,33
Hotel Villa San Ignacio Inn,Coahuila de Zaragoza,Torreón,Carretera Santa Fe km 0.75 int N/A,Colonia N/A,27400,,,Hotel,180,71
HOTEL IBIS,Coahuila de Zaragoza,Torreón,Carretera TORREON SAN PEDRO 2200 int NA,Ejido LA UNION,27420,8716905062,ha8v0-gm@accor.com,Hotel,181,111
HOTEL JUAREZ 70,Colima,Colima,Calle BENITO JUAREZ 70 int .,Colonia CENTRO,28000,3121361246,hotelbuenaaventura@hotmail.com,Hotel,182,2
HOTEL CANINO REYES,Colima,Colima,Callejón CANAL S/N int -,Colonia LO DE VILLA,28620,3121452623,CESARMHR@GMAIL.COM,Hotel,183,88
HOTEL GAMMA COLIMA,Colima,Colima,Periférico TERCER ANILLO PERIFERCIO 1100 int .,Colonia DIEZMO,28010,3123236666,estela.bayardo@whyndhamgardencolima.com,Hotel,184,93
HOTEL FIESTA INN COLIMA,Colima,Colima,Prolongación CAMINO REAL 1101 int -,Colonia EL DIEZMO,28010,3123164435,karina.dominguez@posadas.com,Hotel,185,15
LA PARANERA HOTEL & RELAX,Colima,Comala,Calle DEGOLLADO 81 int .,Colonia CENTRO,28450,3129437635,Nely.orozcof@gmail.com,Hotel,186,88
HOTEL TEPEYAC,Chiapas,San Cristóbal de las Casas,Andador REAL DE GUADALUPE 40 int NO APLICA,Barrio GUADALUPE,29230,9676780118,emelina_santiago@hotmail.com,Hotel,187,69
POSADA LUCELLA,Chiapas,San Cristóbal de las Casas,Avenida INSURGENTES 55 int NO TIENE,Barrio SANTA LUCIA,29250,9676780956,erika_yadira78@hotmail.com,Hotel,188,97
HOTEL SAN JOSE,Chiapas,San Cristóbal de las Casas,Avenida CRESCENCIO ROSAS 48 int NO TIENE,Barrio SANTA LUCIA,29250,9676782622,,Hotel,189,35
HOTEL CASA OVALLE,Chiapas,San Cristóbal de las Casas,Avenida CRESCENCIO ROSAS 11 int NO APLICA,Colonia CENTRO,29200,9676746009,olis_coello@hotmail.com,Hotel,190,99
HOTEL PAVO REAL,Chiapas,San Cristóbal de las Casas,Avenida INSURGENTES 64-A int NO APLICA,Barrio SANTA LUCIA,29250,9676747535,irmadelourdescruzdelgadillo@gmail.com,Hotel,191,83
HOTEL VILLA MURANO,Chiapas,San Cristóbal de las Casas,Calle EJERCITO NACIONAL 42 int NO APLICA,Barrio CERRILLO,29220,9676882353,gerencia@villamurano.com.mx,Hotel,192,44
"SERVICIOS TURISTICOS DE SAN CRISTOBAL, S.A. DE C.V.",Chiapas,San Cristóbal de las Casas,Calle GUADALUPE VICTORIA 21 int NO TIENE,Barrio LA MERCED,29240,9676781363,FRANCISCOPEREZ118@HOTMAIL.COM,Hotel,193,15
HOTEL ANDADOR DEL ARCO,Chiapas,San Cristóbal de las Casas,Calle ALVARO OBREGON 12 int NINGUNO,Barrio SANTA LUCIA,29250,9676789354,hotelandadordelarco@gmail.com,Hotel,194,38
"SERVICIOS TURISTICOS JOVEL, S.A. DE C.V.",Chiapas,San Cristóbal de las Casas,Calle PLAZA 31 DE MARZO 10 int NINGUNO,Colonia SAN CRISTOBAL DE LAS CASAS CENTRO,29200,9676780187,centro@ciudadreal.com.mx,Hotel,195,56
HOTEL COLONIAL,Chiapas,San Cristóbal de las Casas,Calle ALVARO OBREGON 6 int 2,Barrio SANTA LUCIA,29250,9676786914,FABIANMARTINEZ25@HOTMAIL.COM,Hotel,196,21
"TURISTICA DE LA SELVA, S.A. DE C.V.",Chiapas,San Cristóbal de las Casas,Calle PLAZA 31 DE MARZO 10 int NINGUNO,Colonia CENTRO,29200,9676784400,HOTELES@CIUDADREAL.COM.MX,Hotel,197,59
"TURISMO MOTELE, S.A. DE C.V.",Chiapas,San Cristóbal de las Casas,Calzada MEXICO 5 int NINGUNO,Barrio FATIMA,29264,9676749500,jesus.arteaga@posadas.com,Hotel,198,1
AUTO HOTEL VIU,Chiapas,San Cristóbal de las Casas,Periférico SUR PONIENTE 39-A int NO APLICA,Barrio FATIMA,29260,9676788199,teisan@prodigy.net.mx,Hotel,199,93
HOTEL HACIENDA DON JUAN,Chiapas,San Cristóbal de las Casas,Prolongación INSURGENTES 162 int NO TIENE,Barrio MARIA AUXILADORA,29290,9676747127,hhdj.chiapasw@gmail.com,Hotel,200,113
ONE TAPACHULA,Chiapas,Tapachula,Avenida 9NA AVENIDA SUR PROLONGACIÓN 382 int SN,Ciudad TAPACHULA,30795,9626890001,marisol.garcia@posadas.com,Hotel,201,93
HOTEL BE GRAND TAPACHULA,Chiapas,Tapachula,Calle 3A CALLE ORIENTE 12 int .,Colonia CENTRO,30700,,,Hotel,202,34
HOTEL PERLA DEL PACÍFICO,Chiapas,Tapachula,Calle 2DA CALLE ORIENTE SN int SN,Colonia SAN BENITO,30830,9626960265,hotelperladelpacifico98@gmail.com,Hotel,203,65
HOTEL LA COLONIA,Chiapas,Tapachula,Calle 1A PONIENTE 23 int SN,Ciudad TAPACHULA,30700,9621243599,serviciosbb_vv@hotmail.com,Hotel,204,98
HOTEL BORA BORA,Chiapas,Tapachula,Calle CENTRAL PONIENTE N° 84 84 int SN,Ciudad TAPACHULA,30760,9621310269,serviciosbb_vv@hotmail.com,Hotel,205,23
HOTEL LOMA REAL,Chiapas,Tapachula,Carretera COSTERA KM. 244 200 int SN,Colonia VISTA HERMOSA,30760,9626261440,,Hotel,206,65
HOTEL VILLA MURANO,Chiapas,Tonalá,Boulevard BOULEVARD GENERAL CESAR A LARA 6 int 0,Colonia PUERTO ARISTA,30507,9612154555,,Hotel,207,14
HOTEL VILLA MURANO,Chiapas,Tuxtla Gutiérrez,Boulevard BOULEVARD GENERAL CESAR A LARA 6 int 0,Colonia PUERTO ARISTA,30507,9612154555,gerencia@villamurano.com.mx,Hotel,208,112
ECO CITY HOTELES,Chiapas,Tuxtla Gutiérrez,Boulevard BELISARIO DOMINGUEZ 1380 int 0,Colonia JARDINES DE TUXTLA,29020,9616175060,NICOL_ASAM@HOTMAIL.COM,Hotel,209,81
HOTEL MADRID,Chiapas,Tuxtla Gutiérrez,Calle 6A PONIENTE NORTE 175 int 0,Barrio DE GUADALUPE,29000,9616133089,FACTURAS_HOTELMADRID@HOTMAIL.COM,Hotel,210,39
HOTEL ACUARIO,Chiapas,Tuxtla Gutiérrez,Calle 10A ORIENTE NORTE 217 int 0,Colonia CENTRO,29000,9616112365,FACTURASACUARIO@HOTMAIL.COM,Hotel,211,108
HOTEL OLIMPO,Chiapas,Tuxtla Gutiérrez,Calle 1A ORIENTE SUR 381 int 0,Colonia CENTRO,29000,9616131717,GRANHOTELOLIMPO@GMAIL.COM,Hotel,212,82
HOTEL FIESTA INN TUXTLA FASHION MALL,Chiapas,Tuxtla Gutiérrez,Carretera TUXTLA - CHIAPA DE CORZO 651 int 0,Colonia EL RETIRO,29040,9711870813,LUIS.ROBLES@POSADAS.COM,Hotel,213,65
TARAMURI,Chihuahua,Chihuahua,Calle ELFIDO BATISTA 4 int N/A,Colonia BARRIO DE CHAPULTEPEC,33200,6351112359,PAGOS@TARAMUTI.COM,Hotel,214,78
HOLIDAY INN EXPRESS (COLON 11390),Chihuahua,Chihuahua,Avenida COLON 11390 int -,Colonia COMPLEJO INDUSTRIAL CHIHUAHUA,31109,6144422200,terrazasws@gmail.com,Hotel,215,26
HOTEL DON RUBEN,Chihuahua,Chihuahua,Avenida SILVESTRE TERRAZAS 11804 int NINGUNO,Colonia ESPERANZA,31414,6144340200,SERVICIOALCLIENTE@HOTELDONRUBEN.COM,Hotel,216,20
HOTEL VILLA DEL SOL,Chihuahua,Chihuahua,Avenida TECNOLOGICO 5701 int -,Colonia LAS GRANJAS,31100,6144172390,hotelvilladelsolchihuahua@gmail.com,Hotel,217,48
HOTEL STATE INN,Chihuahua,Chihuahua,Avenida TECNOLOGICO 7901 int 23,Colonia LAURA LETICIA,31120,6144170303,GUILLERMOENRIQUEZ@STATEINN.COM,Hotel,218,98
HOTEL SNTENARIO,Chihuahua,Chihuahua,Avenida HOMERO 340 int -,Colonia COMPLEJO INDUSTRIAL CHIHUAHUA,31109,6144810099,proveedores@hotelsntenario.com,Hotel,219,21
HOTEL APOLO,Chihuahua,Chihuahua,Avenida PROLONGACION TEOFILO BOUNDA 1210 int NINGUNO,Colonia CENTRO,31000,6144161100,HOTELAPOLO56@HOTMAIL.COM,Hotel,220,70
HOTEL MARROD,Chihuahua,Chihuahua,Avenida TECNOLOGICO 10111 int -,Colonia DEPORTISTAS,31125,6144190323,hotelmarrod@prodigy.net.mx,Hotel,221,100
OPERADORA MEXICO SERVICIOS,Chihuahua,Chihuahua,Avenida TECNOLOGICO 4702 int -,Colonia LAS GRANJAS,31100,,silvia.zapata@hotelesprisma.com,Hotel,222,68
EL CASON,Chihuahua,Chihuahua,Avenida TECNOLOGICO 11315 int no,Colonia DEPORTISTAS,31125,6141585960,ventas@elcasonhotel.com,Hotel,223,1
HOTEL LOS CEDROS,Chihuahua,Chihuahua,Avenida DE LA CANTERA 8510 int NINGUNO,Colonia RESIDENCIAL CUMBRES I,31217,6144321500,gerenciach@hcedros.com,Hotel,224,77
BEST WESTERN MIRADOR,Chihuahua,Chihuahua,Avenida UNIVERSIDAD 1305 int NINGUNO,Colonia SAN FELIPE,31203,6144322200,bwchih@prodigy.net.mx,Hotel,225,42
HOTEL ONE (COMPLEJO IND.),Chihuahua,Chihuahua,Avenida CRISTOBAL COLON 11508 int NINGUNO,Colonia COMPLEJO INDUSTRIAL CHIHUAHUA,31136,6141588960,isela.hernandez@posadas.com,Hotel,226,63
HOLIDAY INN EXPRESS (AV. TECNOLOGICO),Chihuahua,Chihuahua,Avenida TECNOLOGICO 8707 int NINGUNO,Colonia VILLANUEVA,31134,6144422200,LPADILLA@HOLIDAYCHIH.NET,Hotel,227,3
HOTEL TECNOGICO NORTE,Chihuahua,Chihuahua,Avenida CRISTOBAL COLON 100 int no,Colonia COMPLEJO INDUSTRIAL CHIHAUHUA,31136,6141740976,hoteltecnologiconorte@gmail.com,Hotel,228,15
HOTEL REAL DEL SUR,Chihuahua,Chihuahua,Boulevard JOSE FUENTES MARES S/N int no,Colonia VILLA JUAREZ,31064,6145398904,hotelrealdelsur@hotmail.com,Hotel,229,47
COPPER CANYON BOUTIQUE HOTEL (SALP53),Chihuahua,Chihuahua,Calle VIALIDAD SACRAMENTO 5100 int NINGUNO,Colonia NOMBRE DE DIOS,31150,6141580808,reservaciones@cchotel.mx,Hotel,230,113
HOTEL CAMPO ALEGRE (REVOLUCION),Chihuahua,Chihuahua,Calle PERIODISTA IGNACIO RODRIGUEZ 270 int no,Colonia REVOLUCION,31135,6144824338,facturasnave@yahoo.com,Hotel,231,107
OPERACION Y CONTROL DE HOTELES SA DE CV,Chihuahua,Chihuahua,"Calle VIA LOMBARDIA 3300 int 801, 802, 803",Colonia SAUCITO,33000,6144430440,j.urbina@contatec.mx,Hotel,232,104
HOTEL CENTRIC CHIHUAHUA,Chihuahua,Chihuahua,Calle ALDAMA 814 int no,Colonia ZONA CENTRO,31000,6144104455,colmenerotorres@gmail.com,Hotel,233,40
HOTEL SHERATON CHIHUAHUA SOBERANO,Chihuahua,Chihuahua,Calle BARRANCA DEL COBRE 3211 int NINGUNO,Fraccionamiento BARRANCAS DEL COBRE,31123,6144292905,adriana.rodriguez@sheratonchihuahuasoberano.com,Hotel,234,31
DEPARTAMENTOS MISSION,Chihuahua,Chihuahua,Calle OJINAGA 1835 int NINGUNO,Colonia SANTA RITA,31020,6144150364,departamentos.mission@gmail.com,Hotel,235,8
COPPER CANYON BOUTIQUE HOTEL,Chihuahua,Chihuahua,Calle VIALIDAD DEL ANGEL 5100 int NINGUNO,Colonia NOMBRE DE DIOS,31156,6144331515,administracion@cchotel.mx,Hotel,236,31
HOTEL QUALITY INN SAN FRANCISCO,Chihuahua,Chihuahua,Calle VICTORIA 409 int NINGUNO,Colonia CENTRO,31000,6144167550,contabilidad@qualityinnchihuahua.com,Hotel,237,113
HOTELES SANTA REGINA,Chihuahua,Chihuahua,Calle 3A 102 int NINGUNO,Colonia CENTRO,31000,6144399292,hsr@prodigy.net.mx,Hotel,238,73
HOTEL CASA TRIAS,Chihuahua,Chihuahua,Calle SEGUNDA 4 int NINGUNO,Colonia CENTRO,31000,6144153613,auxiiarcp@centralhb.com,Hotel,239,11
HOTEL MARIA DOLORES,Chihuahua,Chihuahua,Calle 9A 304 int NINGUNO,Colonia ZONA CENTRO,31000,6144104770,MOTELMADOL@HOTMAIL.COM,Hotel,240,11
HOTEL FAMILIAR,Chihuahua,Chihuahua,Calle 10A 5 int -,Colonia CENTRO,31000,6141092870,,Hotel,241,94
MOTEL PARAISO (PER. LOMBARDO IHB17),Chihuahua,Chihuahua,Periférico VICENTE LOMBARDO TOLEDANO 13320 int -,Colonia VILLA SIERRA AZUL,31384,,studiomotel69@gmail.com,Hotel,242,63
MICROTEL INN AND SUITES,Chihuahua,Chihuahua,Periférico DE LA JUVENTUD 3304 int NINGUNO,Colonia LOMAS LA SALLE II,31214,6144322526,casandra.nevarez@hotelesprisma.com,Hotel,243,105
HOTEL RAMADA ENCORE CHIHUAHUA,Chihuahua,Chihuahua,Periférico DE LA JUVENTUD 5700 int NINGUNO,Colonia SAUCITO,31114,6144190650,GERENCIA@RAMADAENCORECHIHUAHUA.COM,Hotel,244,9
HOTEL MOTEL HOUSTON,Chihuahua,Chihuahua,Carretera CHIHUAHUA A CUAUHTEMOC KM 13.9 int NINGUNO,Colonia LAS ANIMAS,31450,6144341911,HOUSTONHOTELMOTEL@YAHOO.COM.MX,Hotel,245,98
HOTEL MESALUNA,Chihuahua,Juárez,Avenida PASEO DE LA VICTORIA 3508 int NA,Colonia PARTIDO IGLESIAS,32528,6566886000,recepcionfacturas@hotelmesaluna.mx,Hotel,246,69
HOTEL LUCERNA,Chihuahua,Juárez,Avenida PASEO TRIUNFO DE LA REPUBLICA 3976 int NA,Colonia PARTIDO ROMERO,32030,6566299900,cxp.jrz@lucerna.com.mx,Hotel,247,99
MOTEL LA SIESTA,Chihuahua,Juárez,Avenida SAN LORENZO 195 int N/A,Colonia SAN LORENZO,32320,6566170998,VICTORVM64@HOTMAIL.COM,Hotel,248,17
"HOTEL VILLA DEL SOL, S.A DE C.V",Chihuahua,Juárez,Avenida PASEO TRIUNFO DE LA REPUBLICA 339 int NA,Colonia SAN LORENZO,32320,6566172424,maaloci@hotmail.com,Hotel,249,17
HOTEL ISTAY CD JUAREZ,Chihuahua,Juárez,Avenida PASEO TRIUNFO DE LA REPUBLICA 3745 int N/A,Colonia CIRCUITO PRONAF,32310,6566296000,ANGELICA.TORRES@HOTELESMILENIUM.COM,Hotel,250,85
HOTEL GAMMA,Chihuahua,Juárez,Avenida ABRAHAM LINCOLN 722 int N/A,Colonia ZONA PRONAF,32315,6566131310,mfigueroa@plazajuarez.com,Hotel,251,61
MARIA BONITA SUITES HOTEL,Chihuahua,Juárez,Avenida RAFAEL PEREZ SERNA 1721 int N/A,Colonia PARQUE INDUSTRIAL MAGNAPLEX,32419,6566670303,ggma@hotelesmariabonita.com,Hotel,252,71
HOTEL CONSULADO INN,Chihuahua,Juárez,Avenida EJERCITO NACIONAL 8821 int NA,Colonia PARTIDO IGLESIAS,32377,6563265175,GAMEZ.CAVAZOS@GMAIL.COM,Hotel,253,22
HOTEL IMPALA,Chihuahua,Juárez,Avenida LERDO 670 int NA,Colonia CENTRO,32000,6566150431,hotel_impala@hotmail.com,Hotel,254,34
HOTEL EXTENDER SUITE,Chihuahua,Juárez,Avenida RAMON RIVERA LARA 8651 int N/A,Colonia PARTIDO SENECU,32617,,,Hotel,255,68
LIFSA,Chihuahua,Juárez,Avenida PASEO DE LA VICTORIA 3650 int INT SUIT,Colonia PARTIDO SENECU,32545,6563829969,,Hotel,256,112
HOTEL Y BAR CAFE BOMBIN,Chihuahua,Juárez,Calle COLON 134 int NA,Colonia CENTRO,32000,6562654610,BAFGEA@YAHOO.COM,Hotel,257,78
HOTEL PRADO,Chihuahua,Juárez,Calle INOCENTE OCHOA 361 int NA,Colonia CIUDAD JUAREZ CENTRO,32000,6566215045,ROGEBLAN@HOTMAIL.COM,Hotel,258,55
HOTEL IBIS JUAREZ CONSULADO,Chihuahua,Juárez,Prolongación RAMON RIVERA LARA 8930 int NA,Colonia PARTIDO SENECU,32500,6562896400,h6843-gm1@accor.com,Hotel,259,28
"LA CALESA DE CD. JUAREZ, SA DE CV",Chihuahua,Juárez,Carretera PANAMERICANA 7040 int N/A,Colonia NUEVO HPODROMO,32685,6566201048,motcale@live.com,Hotel,260,70
MAS SOL SA DE CV,Ciudad de México,Coyoacán,Avenida HEROICA ESCUELA NAVAL MILITAR 874 int 0,Colonia ALIANZA POPULAR REVOLUCIONARIA,4800,5556796575,mas.sol.hotel@gmail.com,Hotel,261,97
HOTELERA MEIRUL,Ciudad de México,Coyoacán,Avenida ADOLFO RUIZ CORTINES 5552 int .,Colonia EL CARACOL,4739,5554245811,,Hotel,262,94
"INMOBILIARIA OROSO, S.A. DE C.V.",Ciudad de México,Coyoacán,Calzada CALZ. DE TLALPAN 3353 int NINGUNO,Colonia SANTA URSULA COAPA,4650,5556107000,,Hotel,263,89
HOSTEL URUGUAY,Ciudad de México,Coyoacán,Calle PRIVADA XIXIMES 14 int .NO,Colonia EL CARACOL,4739,5555219594,facturacion.ciudadela@kalihoteles.com,Hotel,264,26
PROMOTORA DE HOTELES EL COLOSO,Ciudad de México,Coyoacán,Calzada TLALPAN 3325 int NINGUNO,Colonia SANTA URSULA COAPA,4650,5556721872,ESQUEDASALAS.ASOC2@YAHOO.COM.MX,Hotel,265,92
"IMPULSORA PLAZA CELAYA, S.A. DE C.V.",Ciudad de México,Cuajimalpa de Morelos,Calle JUAN SALVADOR AGRAZ 69 int .,Colonia SANTA FE CUAJIMALPA,5348,5528953024,oepun.contador@cityexpress.com.mx,Hotel,266,40
HOTEL H5533 SA DE CV,Ciudad de México,Cuajimalpa de Morelos,Carretera MEXICO TOLUCA 5533 int 0,Colonia CUAJIMALPA,5000,5581646773,hotelh5533@yahoo.com.mx,Hotel,267,52
QUINTA EL YAQUI SA DE CV,Ciudad de México,Cuajimalpa de Morelos,Carretera MEXICO TOLUCA 5440 int 0,Colonia EL MOLINITO,5310,5558125668,quintaelyaqui@gmail.com,Hotel,268,86
MARRIOT,Ciudad de México,Cuajimalpa de Morelos,Avenida SANTA FE 481 int PISO 7,Unidad habitacional CRUZ MANCA,5000,5550001750,fabiola.tinocomonjaraz@marriot.com,Hotel,269,84
ONE CD DE MEXICO,Ciudad de México,Cuajimalpa de Morelos,Avenida PERIFERICO SUR 5530 int PISO 7,Colonia PEDREGAL DE CARRASCO,4700,5550001750,fabiola.tinocomonjaraz@marriott.com,Hotel,270,48
HOTEL SANTA FE,Ciudad de México,Cuajimalpa de Morelos,Avenida JUAN SALVADOR AGRAZ 44 int NINGUNO,Colonia SANTA FE,5109,5591777380,ka.martinez@nh-hotels.com,Hotel,271,57
HYATT HOUSE MEXICO CITY SANTA FE,Ciudad de México,Cuajimalpa de Morelos,Calle VASCO DE QUIROGA 4001 int 11,Colonia SANTA FE CUAJIMALPA,5348,5552821234,hyatt_cxpcostos@grupopresidente.com,Hotel,272,67
COURTYARD VALLEJO,Ciudad de México,Cuajimalpa de Morelos,Calzada VALLEJO 1090 int NO,Colonia SANTA CRUZ DE LAS SALINAS,2300,5550001750,PAULINA.VELAZQUEZ@COURTYARD.COM,Hotel,273,58
GRUPO POSADAS,Ciudad de México,Cuajimalpa de Morelos,Prolongación PASEO DE LA REFORMA 1015 TORRE A int PISO 9,Colonia SANTA FE CUAJIMALPA,5348,5551302900,COMPRASFICEN@POSADAS.COM,Hotel,274,16
HOTEL OLIMPO,Ciudad de México,Gustavo A. Madero,Avenida NOE 90 int NINGUNO,Colonia GUADALUPE TEPEYAC,7840,5555178711,PROVEEDORES@HOLIMPO.MX,Hotel,275,32
MOTEL LA FLOR,Ciudad de México,Gustavo A. Madero,Avenida INSURGENTES NORTE 1020 int NINGUNO,Colonia TLACAMACA,7380,5555178289,MOTELLAFLOR@PRODIGY.NET.MX,Hotel,276,29
HOTEL MONTEVIDEO,Ciudad de México,Gustavo A. Madero,Avenida MONTEVIDEO 41 int NO,Colonia TEPEYAC INSURGENTES,7020,5555772311,hmontevideo@live.com.mx,Hotel,277,9
HOTEL LA VADA,Ciudad de México,Gustavo A. Madero,Avenida INSURGENTES NORTE 1700 int NINGUNO,Colonia LINDAVISTA,7300,5555776513,lavadahotel@hotmail.com,Hotel,278,44
HOTEL EL CID,Ciudad de México,Gustavo A. Madero,Avenida LEON DE LOS ALDAMA 219 int NINGUNO,Colonia SAN FELIPE DE JESUS,7510,5570305279,,Hotel,279,3
HOTEL MONTE CASINO,Ciudad de México,Gustavo A. Madero,Avenida INSTITUTO POLITÉCNICO NACIONAL 5104 int NINGUNO,Colonia CAPULTITLAN,7370,5584005045,jvp7@hotmail.com,Hotel,280,76
HOTEL SANTIAGO,Ciudad de México,Gustavo A. Madero,Avenida MONTEVIDEO 74 int NO,Colonia TEPEYAC INSURGENTES,7020,5555771515,hotelsantiago74@hotmail.com,Hotel,281,71
